Average trade price: 61268.191536, Total volume: 183.051173
Average trade price: 61259.307161, Total volume: 359.404958
Average trade price: 61249.604167, Total volume: 358.857782
Average trade price: 61240.203776, Total volume: 416.668849
Average trade price: 61235.954167, Total volume: 382.057257
Average trade price: 61233.018229, Total volume: 373.236894
Average trade price: 61228.050521, Total volume: 371.342940
Average trade price: 61222.033333, Total volume: 364.224395
Average trade price: 61216.238021, Total volume: 360.674775
Average trade price: 61211.827083, Total volume: 360.454937
Average trade price: 61205.959635, Total volume: 357.126595
Average trade price: 61201.945573, Total volume: 353.667544
Average trade price: 61196.679557, Total volume: 348.032799
Average trade price: 61192.279557, Total volume: 324.302210
Average trade price: 61189.318229, Total volume: 324.727113
Average trade price: 61185.720573, Total volume: 299.541449
Average trade price: 61183.427865, Total volume: 128.845639
Average trade price: 61181.535156, Total volume: 126.754426
Average trade price: 61179.551823, Total volume: 68.250321
Average trade price: 61176.356120, Total volume: 68.971667
Average trade price: 61174.590495, Total volume: 67.957738
Average trade price: 61175.416797, Total volume: 68.970232
Average trade price: 61174.978516, Total volume: 68.639804
Average trade price: 61173.772135, Total volume: 64.074414
Average trade price: 61169.783724, Total volume: 87.641110
Average trade price: 61166.051172, Total volume: 89.697759
Average trade price: 61161.731510, Total volume: 86.656396
Average trade price: 61160.834896, Total volume: 122.211507
Average trade price: 61161.915625, Total volume: 130.740240
Average trade price: 61163.147917, Total volume: 129.725461
Average trade price: 61166.359245, Total volume: 134.797279
Average trade price: 61169.713932, Total volume: 148.825271
Average trade price: 61170.172526, Total volume: 151.931824
Average trade price: 61170.149870, Total volume: 155.128492
Average trade price: 61170.064193, Total volume: 154.158911
Average trade price: 61168.570443, Total volume: 156.771435
Average trade price: 61165.568099, Total volume: 154.644238
Average trade price: 61165.592318, Total volume: 154.871625
Average trade price: 61167.604297, Total volume: 156.021144
Average trade price: 61170.455599, Total volume: 129.737063
Average trade price: 61171.688932, Total volume: 126.534482
Average trade price: 61173.422266, Total volume: 128.861406
Average trade price: 61172.718620, Total volume: 107.175784
Average trade price: 61170.771484, Total volume: 100.815435
Average trade price: 61167.367187, Total volume: 97.778981
Average trade price: 61161.282031, Total volume: 95.054997
Average trade price: 61155.665755, Total volume: 89.002705
Average trade price: 61153.319531, Total volume: 92.146666
Average trade price: 61151.525911, Total volume: 92.658448
Average trade price: 61149.189583, Total volume: 91.823249
Average trade price: 61150.517318, Total volume: 96.775516
Average trade price: 61155.189063, Total volume: 100.114745
Average trade price: 61158.055339, Total volume: 100.925750
Average trade price: 61160.036719, Total volume: 103.929886
Average trade price: 61163.505729, Total volume: 103.630420
Average trade price: 61169.333073, Total volume: 109.437232
Average trade price: 61176.653385, Total volume: 116.789989
Average trade price: 61183.188411, Total volume: 106.980197
Average trade price: 61187.770182, Total volume: 132.609299
Average trade price: 61192.966797, Total volume: 132.302788
Average trade price: 61201.401302, Total volume: 123.897403
Average trade price: 61211.417578, Total volume: 117.140875
Average trade price: 61219.822266, Total volume: 131.335240
Average trade price: 61227.798177, Total volume: 132.903713
Average trade price: 61237.891536, Total volume: 134.463212
Average trade price: 61246.071224, Total volume: 131.060207
Average trade price: 61251.730859, Total volume: 127.997745
Average trade price: 61256.680599, Total volume: 130.854792
Average trade price: 61260.881250, Total volume: 131.463380
Average trade price: 61264.484635, Total volume: 131.889544
Average trade price: 61265.858333, Total volume: 170.076391
Average trade price: 61265.782422, Total volume: 166.981411
Average trade price: 61266.047787, Total volume: 175.259319
Average trade price: 61267.624349, Total volume: 149.973392
Average trade price: 61270.358333, Total volume: 167.680838
Average trade price: 61271.205729, Total volume: 172.541110
Average trade price: 61271.872005, Total volume: 168.597972
Average trade price: 61274.877865, Total volume: 164.571473
Average trade price: 61278.613281, Total volume: 161.897974
Average trade price: 61282.566927, Total volume: 161.570714
Average trade price: 61285.328255, Total volume: 159.560898
Average trade price: 61288.327214, Total volume: 166.412175
Average trade price: 61290.974479, Total volume: 171.449029
Average trade price: 61294.370833, Total volume: 167.728412
Average trade price: 61295.777865, Total volume: 196.481301
Average trade price: 61298.577865, Total volume: 176.444736
Average trade price: 61299.734635, Total volume: 183.358753
Average trade price: 61301.115625, Total volume: 181.251399
Average trade price: 61304.338672, Total volume: 189.520738
Average trade price: 61310.742578, Total volume: 196.518869
Average trade price: 61319.288932, Total volume: 210.264010
Average trade price: 61326.177083, Total volume: 210.013169
Average trade price: 61331.835938, Total volume: 209.203564
Average trade price: 61338.271615, Total volume: 212.117820
Average trade price: 61342.372917, Total volume: 218.149045
Average trade price: 61345.210547, Total volume: 214.843926
Average trade price: 61347.414323, Total volume: 207.108970
Average trade price: 61351.480339, Total volume: 200.900551
Average trade price: 61353.950651, Total volume: 201.294852
Average trade price: 61357.343229, Total volume: 177.898526
Average trade price: 61359.975130, Total volume: 156.785878
Average trade price: 61364.361328, Total volume: 161.726981
Average trade price: 61369.046615, Total volume: 153.076501
Average trade price: 61370.784375, Total volume: 144.335194
