Starting Price: 61128.000000, Ending Price: 61099.019531, Highest Price: 61152.019531, Lowest Price: 61094.000000, Total Volume: 36.162518
Starting Price: 61099.019531, Ending Price: 61094.011719, Highest Price: 61108.000000, Lowest Price: 61076.019531, Total Volume: 11.583346
Starting Price: 61094.011719, Ending Price: 61092.851562, Highest Price: 61102.000000, Lowest Price: 61092.839844, Total Volume: 2.567456
Starting Price: 61092.839844, Ending Price: 61045.988281, Highest Price: 61092.839844, Lowest Price: 61030.019531, Total Volume: 14.864070
Starting Price: 61046.000000, Ending Price: 60960.000000, Highest Price: 61046.000000, Lowest Price: 60959.898438, Total Volume: 18.123621
Starting Price: 60960.011719, Ending Price: 60959.988281, Highest Price: 60960.011719, Lowest Price: 60919.898438, Total Volume: 27.716221
Starting Price: 60959.988281, Ending Price: 60994.328125, Highest Price: 60995.238281, Lowest Price: 60956.000000, Total Volume: 10.074683
Starting Price: 60994.320312, Ending Price: 61006.011719, Highest Price: 61020.000000, Lowest Price: 60966.441406, Total Volume: 15.311015
Starting Price: 61006.000000, Ending Price: 61000.000000, Highest Price: 61010.000000, Lowest Price: 60996.859375, Total Volume: 4.430325
Starting Price: 60999.988281, Ending Price: 61039.179688, Highest Price: 61052.000000, Lowest Price: 60987.800781, Total Volume: 31.977694
Starting Price: 61038.019531, Ending Price: 61110.011719, Highest Price: 61110.898438, Lowest Price: 61038.011719, Total Volume: 5.703437
Starting Price: 61110.011719, Ending Price: 61102.000000, Highest Price: 61120.988281, Lowest Price: 61082.601562, Total Volume: 18.900742
Starting Price: 61101.988281, Ending Price: 61064.000000, Highest Price: 61102.000000, Lowest Price: 61062.000000, Total Volume: 5.707030
Starting Price: 61064.000000, Ending Price: 61080.000000, Highest Price: 61080.000000, Lowest Price: 61054.648438, Total Volume: 6.490715
Starting Price: 61079.988281, Ending Price: 61093.988281, Highest Price: 61095.519531, Lowest Price: 61064.000000, Total Volume: 3.387813
Starting Price: 61095.531250, Ending Price: 61036.199219, Highest Price: 61100.000000, Lowest Price: 61036.199219, Total Volume: 9.746208
Starting Price: 61036.199219, Ending Price: 61004.011719, Highest Price: 61036.199219, Lowest Price: 61004.000000, Total Volume: 2.353004
Starting Price: 61004.000000, Ending Price: 61022.011719, Highest Price: 61024.000000, Lowest Price: 61003.089844, Total Volume: 8.991196
Starting Price: 61022.019531, Ending Price: 61017.011719, Highest Price: 61032.000000, Lowest Price: 61008.000000, Total Volume: 4.834207
Starting Price: 61017.000000, Ending Price: 61008.000000, Highest Price: 61022.660156, Lowest Price: 61002.000000, Total Volume: 3.654935
Starting Price: 61008.000000, Ending Price: 61002.609375, Highest Price: 61024.000000, Lowest Price: 61000.109375, Total Volume: 6.159415
Starting Price: 61002.621094, Ending Price: 61050.011719, Highest Price: 61080.000000, Lowest Price: 61002.609375, Total Volume: 13.241557
Starting Price: 61050.011719, Ending Price: 60991.988281, Highest Price: 61050.011719, Lowest Price: 60987.000000, Total Volume: 9.787183
Starting Price: 60991.988281, Ending Price: 61003.898438, Highest Price: 61006.000000, Lowest Price: 60987.000000, Total Volume: 3.180760
Starting Price: 61003.898438, Ending Price: 61030.011719, Highest Price: 61042.000000, Lowest Price: 60994.050781, Total Volume: 4.535137
Starting Price: 61030.011719, Ending Price: 61091.691406, Highest Price: 61093.160156, Lowest Price: 61024.000000, Total Volume: 10.711117
Starting Price: 61091.699219, Ending Price: 61076.000000, Highest Price: 61091.699219, Lowest Price: 61059.898438, Total Volume: 4.876544
